Date,r1_tmin,r2_tmin,r1_tmax,r2_tmax,r1_tavg,r2_tavg,r1_pcp,r2_pcp
190001,19.6,4.4,36.4,28.6,28.0,16.4,1.66,4.07
190002,16.7,4.9,35.5,26.9,26.1,15.9,2.36,5.24
190003,25.9,8.5,50.8,30.9,38.4,19.7,1.57,4.54
190004,32.2,29.1,54.2,49.9,43.2,39.5,2.77,1.27
190005,37.9,36.2,65.3,62.7,51.6,49.5,2.42,2.89
190006,45.4,49.1,78.6,75.3,62.0,62.2,0.66,3.3
190007,46.1,54.1,80.8,77.8,63.4,65.9,0.22,3.98
190008,44.9,53.5,75.1,75.9,60.0,64.7,0.76,4.31
190009,39.6,46.3,66.1,69.2,52.8,57.7,1.23,2.52
190010,31.9,39.4,53.7,60.9,42.8,50.2,3.05,2.96
190011,22.0,25.2,40.5,42.2,31.2,33.7,2.66,6.51
190012,21.9,7.9,34.6,27.6,28.2,17.8,2.06,2.04
190101,16.9,4.1,32.9,24.5,24.9,14.3,3.53,2.38
190102,15.6,0.3,33.7,19.9,24.6,10.1,3.26,0.97
190103,22.4,14.9,41.6,34.7,32.0,24.8,2.03,4.03
190104,27.1,32.8,50.2,52.6,38.7,42.7,1.38,3.91
190105,40.0,41.6,65.8,63.3,52.9,52.5,2.27,4.82
190106,39.1,50.4,64.8,75.6,51.9,63.0,1.22,3.16
190107,49.6,56.5,84.2,79.3,66.9,67.9,0.29,4.47
190108,50.1,54.2,82.5,75.5,66.3,64.9,0.58,4.19
190109,37.7,45.2,63.5,68.2,50.6,56.7,1.41,2.91
190110,35.1,33.6,60.5,56.6,47.8,45.1,1.37,2.61
190111,25.7,18.9,45.7,34.5,35.7,26.7,1.48,2.28
190112,18.2,11.2,33.6,30.2,25.9,20.7,3.23,5.01
190201,12.0,2.7,30.9,24.5,21.4,13.6,1.94,2.3
190202,22.3,5.6,37.8,27.0,30.0,16.3,3.77,2.36
190203,21.0,23.3,39.3,43.2,30.2,33.3,1.8,4.36
190204,28.7,31.4,50.5,52.2,39.6,41.8,2.04,3.59
190205,37.1,38.2,61.8,61.5,49.4,49.9,2.37,3.97
190206,41.1,46.0,71.3,68.3,56.2,57.2,0.72,4.64
190207,44.8,52.8,76.7,73.5,60.8,63.2,1.46,4.99
190208,45.8,49.1,78.2,71.3,62.0,60.2,0.51,4.3
190209,37.2,46.3,69.2,67.0,53.2,56.6,0.56,4.29
190210,31.0,33.5,58.8,53.0,44.9,43.3,0.65,4.63
190211,23.1,26.5,38.6,46.3,30.9,36.4,3.74,1.44
190212,17.1,6.0,32.2,25.8,24.7,15.9,3.38,3.91
190301,17.1,6.0,31.1,25.6,24.1,15.8,4.26,3.21
